date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:01:55	29367/29367	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2016:01:55%20GMT	https://btech.id/brand/	btech.id/brand/index.html	(from https://btech.id/)
23:01:55	32552/32552	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2016:01:55%20GMT	https://btech.id/infographic/	btech.id/infographic/index.html	(from https://btech.id/)
23:01:55	54847/54847	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2016:01:55%20GMT	https://btech.id/career/	btech.id/career/index.html	(from https://btech.id/)
23:01:55	44378/44378	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2016:01:55%20GMT	https://btech.id/news/	btech.id/news/index.html	(from https://btech.id/)
23:01:56	4746/4746	---M--	200	added ('OK')	image/webp	etag:%2261bae1d4-128a%22	https://btech.id/media/images/customers/brse.webp	btech.id/media/images/customers/brse.webp	(from https://btech.id/)
23:01:57	3536/3536	---M--	200	added ('OK')	image/webp	etag:%22613af831-dd0%22	https://btech.id/media/images/customers/BANK_BRI_logo.webp	btech.id/media/images/customers/BANK_BRI_logo.webp	(from https://btech.id/)
23:01:58	31880/31880	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2016:01:57%20GMT	https://btech.id/opensource/	btech.id/opensource/index.html	(from https://btech.id/)
23:01:58	2782/2782	---M--	200	added ('OK')	image/webp	etag:%22614bdbd3-ade%22	https://btech.id/media/images/customers/18_biznet_gio_2.webp	btech.id/media/images/customers/18_biznet_gio_2.webp	(from https://btech.id/)
23:01:59	6124/6124	---M--	200	added ('OK')	image/webp	etag:%22613af899-17ec%22	https://btech.id/media/images/customers/c_bpbatam.webp	btech.id/media/images/customers/c_bpbatam.webp	(from https://btech.id/)
23:02:00	49294/49294	---M--	200	added ('OK')	image/webp	etag:%22613af863-c08e%22	https://btech.id/media/images/customers/bpjs-ketenagakerjaan.webp	btech.id/media/images/customers/bpjs-ketenagakerjaan.webp	(from https://btech.id/)
